drop	00057478;00092045;00148161;00363763;00394236;00433636;00549696;00616690;00617306;00943477;01102419;01203299;01260866;01492094;01516062;01614420;01980855;01981715;01989937;02271905;02409062;02471362;02723347
foal	00057609
cub	00057728
kitten	00057849
lamb	00057988
litter	00058124;01381086;02741017
whelp	00058239
pup	00058239
farrow	00058386
pig	00058386;01199186;02621792
fawn	00058548;00882499;02067699
calve	00058651;01217581
have young	00058651
have a bun in the oven	00058790
carry	00058790;00235827;00740956;01051478;01062889;01063192;01103083;01103827;01103982;01125841;01126035;01205694;01207773;01220648;01244445;01411414;01452567;01604155;01744201;01750167;02005731;02016577;02084180;02237977;02290237;02308858;02364227;02523827;02561392;02562363;02567083;02592213;02636815;02642409;02642600;02688777;02706727;02722977;02747232;02752610
gestate	00058790;01636885
expect	00058790;00059147;00594097;00721658;00721987;00757790
carry to term	00059330
miscarry	00059540;02534046
abort	00059670;00059834;00354493
brood	00059956;00706015;01809351;02724891;02749936
hatch	00059956;00062866;01279157;01637684;01686129
incubate	00059956;00255036
alter	00060248;00122978;00126072;00201771;01671027
neuter	00060248
spay	00060248
castrate	00060248;00060604;00201398;00543033
defeminize	00060472
defeminise	00060472
emasculate	00060604;00543033
demasculinize	00060604
demasculinise	00060604
caponize	00060850
caponise	00060850
geld	00060990
cut	00060990;00095890;00108279;00202086;00226497;00244786;00293269;00430013;00430921;00448609;00474253;00562167;01061436;01066821;01229652;01322398;01323084;01416571;01513208;01555301;01558219;01613738;01613894;01614027;01670612;01717350;01758545;01758723;01760121;01760260;01760407;01863981;01864093;01919723;01919858;02037140;02105927;02138697;02427383;02594436;02619895
vasectomize	00061172
vasectomise	00061172
sterilize	00061366;00062353
sterilise	00061366;00062353
desex	00061366
unsex	00061366;00538712;02320155
desexualize	00061366;01957534
desexualise	00061366;01957534
fix	00061366;00261534;00407168;00408383;00487934;00949109;01156413;01343121;01578506;01651085;01668067;02609306
face-lift	00061704
lift	00061704;00178616;00178766;00178887;00198998;00354849;00357852;00545629;00551059;00794583;00801460;00988106;01314268;01454668;01457813;01582002;01972576;01977773;01978076;02281711;02281983;02282906;02357177;02702643
trephine	00061838
menstruate	00061974
flow	00061974;00217853;01545450;02070438;02070867;02071617;02749602
ovulate	00062168
antisepticize	00062545
autoclave	00062744
irritate	00063062;00504796;01791774
inflame	00063328;00063495;01764964;02767330;02767643
soothe	00063687;01818782
relieve	00063866;00082316;00199442;00895399;00938680;01819152;02317862;02317976;02417305;02556565;02570061
alleviate	00063866;00519475
palliate	00063866;00907990
assuage	00063866;01206641;01769244
massage	00064258;01235302
hurt	00064414;00064841;00261356;01796596;01797206;02125976;02126629
indispose	00064660;00302119;00683044
suffer	00064841;00065410;00078154;00205112;00205234;00670017;01798679;02113644;02114536;02125976;02725682
be well	00065266
sustain	00065410;00667804;00820083;01187158;01205348;01219607;02685340
wail	00065796;01048804
whimper	00065796
mewl	00065796
pule	00065796
cry	00065962;00066456;00914001;00915018;00976818;00987496;01191520
weep	00065962
bawl	00066633;01048352;01050441
tear	00066748;01386929;01559128;01576346;02059191
sob	00066900
snivel	00067045;00101533;01044403
blubber	00067045;00945764
blub	00067045
snuffle	00067045;00101533;02130617
sweat	00067316
sudate	00067316
perspire	00067316
superfetate	00067621
exude	00067770;00946447
exudate	00067770
transude	00067770
ooze out	00067770
ooze	00067770;02075902
distill	00068238;00229452;00229706;00365521;00476114
distil	00068238;00229452;00229706;00365521
reek	00068398;02128571;02199169;02774078
fume	00068398;01799344;02131565;02773880
transpire	00068511;00341832;00343834;00368216;02070685
extravasate	00068629;00308350;01378574
