entity	00001740
leap	00121022;05093947;07373585;07428822
leaping	00121022
spring	00121022;04295410;05028317;08525382;09466357;15261841
saltation	00121022;00429255;07373585;07441332;13573847
bound	00121022;05131322;08529331;13926085
bounce	00121022;05028147;07365001
vault	00121335;04530820;04530985;04531126
hurdle	00121335;03554769;05699206
jumping up and down	00121467
lob	00121624;00570398
centering	00121763;05712641
snap	00121763;00139776;00345525;00576402;04255319;04255717;05027524;07382308;07396023;07408836;07651993;07744029;15324340
sending	00121986
transmission	00122186;04479478;06261911;07375247;13610206
transmittal	00122186
transmitting	00122186
forwarding	00122465;00250647
referral	00122724;06684785;10533848
remitment	00122926;13320476
remit	00122926;05824016
mailing	00123158;08480658
posting	00123158;06506364;06806283
wheeling	00123350;09179792
rolling	00123350;00785416;07403930
shooting	00123481;00226017
shoot	00123774;13185661
countershot	00123963
discharge	00124054;00214561;00217041;01255864;07322372;07422377;11531956;13487789;14876637
firing	00124054;00217041;00379287;00989024
firing off	00124054
gun	00124250;02673313;02749370;03461243;03472916;10171603;10612800
fire control	00124472
gunfire	00124603
gunshot	00124603
enfilade	00124828
enfilade fire	00124828
snipe	00124971;02034588
headshot	00125076;01267426;03511086
skeet	00125162
skeet shooting	00125162
trapshooting	00125162
shellfire	00125356
gunfight	00125437
gunplay	00125437
shootout	00125437
potshot	00125586;06724478
physical contact	00125700
rub	00125946;05699109
wipe	00125946
scuff	00126135;03803583
tap	00126256;00655643;04398064;04398245;04398363;04566737;07403587;07424621
pat	00126256;07403587
dab	00126256;13783311
hitting	00126449
striking	00126449;07353929
contusion	00126920;14312373
crash	00127056;07316568;07394744;07493085;07494014
impingement	00127267;00158777
impaction	00127267;14083899;14084057;14600876
batting	00127404;02814065
fielding	00127541;10990595
golfing	00127841
pitching	00127971;00338036
base on balls	00128106
walk	00128106;00284412;00285642;00287986;00585285;04552265;05010255
best	00128351;09870573;10869645
worst	00128492;04859765;07310573
fair ball	00128686
foul ball	00128911
snick	00129144;00388705
bunt	00129297;13089015;13089194;14307528
fly	00129458;02192818;03377906;03378083;04419232
fly ball	00129458
blast	00129687;06724098;07301993;07390857;07422771;11485416
pop fly	00129796
pop-fly	00129796
pop-up	00129796;06424903
grounder	00129909
ground ball	00129909
groundball	00129909
hopper	00129909;02229081;03540464;03540609;10204946
